801	125	115	g
802	100	110	g
803	105	110	g
804	110	110	g
805	115	110	g
806	120	110	g
807	125	110	g
808	100	105	g
809	105	105	g
810	110	105	g
811	115	105	g
812	120	105	g
813	125	105	g
814	100	100
815	105	100	g
816	110	100	g
817	115	100	g
818	120	100	g
819	125	100	g
820	100	95	g
821	105	95	g
822	110	95
823	115	95	g
824	120	95
825	125	95	g
# Half past one in the morning movies section (complete)
826	135	120	g
827	140	120	g
828	150	120
829	155	120	g
830	130	115	g
831	135	115	g
832	140	115	g
833	145	115	g
834	150	115	g
835	155	115	g
836	130	110	g
837	135	110	g
838	140	110	g
839	145	110	g
840	150	110	g
841	155	110	g
842	130	105	g
843	135	105	g
844	140	105	g
845	145	105	g
846	150	105	g
847	155	105	g
848	130	100	g
849	135	100	g
850	140	100	g
851	145	100	g
852	150	100	g
853	155	100	g
854	130	95
855	135	95	g
856	140	95	g
857	145	95	g
858	150	95	g
859	155	95	g
# 17:30 hr short progs group (complete)
860	1735	60	g
861	1740	60	g
862	1750	60	g
863	1755	60	g
864	1730	55	g
865	1735	55	g
866	1740	55	g
867	1745	55	g
868	1750	55	g
869	1755	55	g
870	1730	50	g
871	1735	50	g
872	1740	50	g
873	1745	50	g
874	1750	50	g
875	1755	50	g
876	1730	45	g
877	1735	45	g
878	1740	45	g
879	1745	45	g
880	1750	45	g
881	1755	45	g
882	1730	40	g
883	1735	40	g
884	1740	40	g
885	1745	40	g
886	1750	40	g
887	1755	40	g
888	1730	35	
889	1735	35	g
890	1740	35	g
891	1745	35	g
892	1750	35	g
893	1755	35	g
# 18:00 hr short progs group (complete)
894	1805	60	g
895	1810	60
896	1820	60	g
897	1825	60	g
898	1800	55	g
899	1805	55	g
900	1810	55	g
901	1815	55
902	1820	55	g
903	1825	55	g
904	1800	50
905	1805	50	g
906	1810	50
907	1815	50	g
908	1820	50	g
909	1825	50
910	1800	45	g
911	1805	45	g
912	1810	45	g
913	1815	45
914	1820	45	g
915	1825	45	g
916	1800	40	g
917	1805	40	g
918	1810	40	g
919	1815	40	g
920	1820	40	g
921	1825	40	g
922	1800	35	g
923	1805	35	g
924	1810	35	g
925	1815	35	g
926	1820	35	g
927	1825	35
# 18:30 hr short progs group (complete)
928	1835	60	g
929	1840	60	g
930	1850	60	g
931	1855	60	g
932	1830	55
933	1835	55	g
934	1840	55	g
935	1845	55	g
936	1850	55	g
937	1855	55	g
938	1830	50	g
939	1835	50	g
940	1840	50	g
941	1845	50	g
942	1850	50	g
943	1855	50	g
944	1830	45	g
945	1835	45	g
946	1840	45	g
947	1845	45	g
948	1850	45	g
949	1855	45	g
950	1830	40	g
951	1835	40	g
952	1840	40	g
953	1845	40	g
954	1850	40
955	1855	40	g
956	1830	35	g
957	1835	35	g
958	1840	35	g
959	1845	35	g
960	1850	35	g
961	1855	35	g
# 19:00 hr short progs group (complete)
962	1905	60	g
963	1910	60	g
964	1920	60	g
965	1925	60	g
966	1900	55
967	1905	55	g
968	1910	55
969	1915	55	g
970	1920	55	g
971	1925	55	g
972	1900	50
973	1905	50	g
974	1910	50	g
975	1915	50
976	1920	50	g
977	1925	50
978	1900	45	g
979	1905	45	g
980	1910	45
981	1915	45	g
982	1920	45	g
983	1925	45	g
984	1900	40
985	1905	40	g
986	1910	40	g
987	1915	40	g
988	1920	40
989	1925	40	g
990	1900	35	g
991	1905	35	g
992	1910	35	g
993	1915	35
994	1920	35	g
995	1925	35	g
# 19:30 hr short progs group (complete)
996	1935	60	g
997	1940	60	g
998	1950	60
999	1955	60	g
1000	1930	55	g
1001	1935	55	g
1002	1940	55	g
1003	1945	55	g
1004	1950	55	g
1005	1955	55	g
1006	1930	50
1007	1935	50	g
1008	1940	50
1009	1945	50	g
1010	1950	50	g
1011	1955	50	g
1012	1930	45	g
1013	1935	45	g
1014	1940	45	g
1015	1945	45
1016	1950	45	g
1017	1955	45	g
1018	1930	40
1019	1935	40	g
1020	1940	40	g
1021	1945	40	g
1022	1950	40	g
1023	1955	40
1024	1930	35	g
1025	1935	35	g
1026	1940	35	g
1027	1945	35	g
1028	1950	35	g
1029	1955	35	g
# 20:00 hr short progs group (complete)
1030	2005	60	g
1031	2010	60	g
1032	2020	60	g
1033	2025	60	g
1034	2000	55	g
1035	2005	55	g
1036	2010	55	g
1037	2015	55	g
1038	2020	55	g
1039	2025	55	g
1040	2000	50
1041	2005	50	g
1042	2010	50
1043	2015	50
