date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:27	5287/5287	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:28%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/?C=M;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/indexf8a0.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:27	5287/5287	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:28%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/?C=S;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/indexbfec.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:28	71823/71823	---M--	200	added ('OK')	application/x-gzip	etag:%221188f-2ed1a669e3c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgpdoc1.ps.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgpdoc1.ps.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/)
11:35:28	102098/102098	---M--	200	added ('OK')	application/x-gzip	etag:%2218ed2-2ed1a669e3c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgpdoc2.ps.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/pgpdoc2.ps.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/PostScript/)
11:35:28	40150/40150	---M--	200	added ('OK')	application/x-gzip	etag:%229cd6-2c5576aea7c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp1.dvi.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp1.dvi.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/)
11:35:28	2128/2128	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:29%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/?C=N;O=D	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/indexc052.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/)
11:35:28	2128/2128	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:29%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/?C=M;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/indexf8a0.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/)
11:35:28	2128/2128	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:29%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/?C=S;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/indexbfec.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/vax-vms/)
11:35:28	27183/27183	---M--	200	added ('OK')	application/x-gzip	etag:%226a2f-2c5576aea7c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp1.texi.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp1.texi.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/)
11:35:29	54552/54552	---M--	200	added ('OK')	application/x-gzip	etag:%22d518-2c5576aea7c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp2.dvi.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/pgp2.dvi.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/doc/TeX/)
